"","NAME","source_type","ADM_scale","announcement_board","institution","institution_type","announcement_type","announcement_date","start_date","end_date","announcement_link","gathering_size","public_health_mobilization","notes","access_date","who_by","last_checked"
"1","USA","government","ADM0",NA,NA,"government","first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","USA","government","ADM0",NA,"Department of Health and Human Services","government","public health emergency",2020-01-31,NA,NA,"https://www.hhs.gov/about/news/2020/01/31/secretary-azar-declares-public-health-emergency-us-2019-novel-coronavirus.html",NA,NA,NA,2020-03-21,"ARW",2020-03-21
"3","USA","government","ADM0",NA,"The White House","government","state of emergency",2020-03-13,NA,NA,"https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-conference-3/",NA,NA,NA,2020-03-21,"ARW",2020-03-21
"4","USA","government","ADM0",NA,NA,"government","non-contact school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","USA","government","ADM0",NA,NA,"government","prohibit_business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","USA","government","ADM0",NA,"The White House","government","gathering_size_limited",2020-03-15,NA,NA,"https://www.whitehouse.gov/wp-content/uploads/2020/03/03.16.20_coronavirus-guidance_8.5x11_315PM.pdf",10,NA,NA,2020-03-21,"ARW",2020-03-21
"7","USA","government","ADM0",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alabama","government","ADM1",NA,"The Office of the Alabama Governor","government","first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alabama","government","ADM1","https://governor.alabama.gov/newsroom/category/press-releases/","The Office of the Alabama Governor","government","state of emergency",2020-03-13,NA,NA,"https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/",NA,NA,NA,2020-03-18,"DMO",2020-03-21
"10","Alabama","government","ADM1",NA,"The Office of the Alabama Governor","government","non-contact school",2020-03-13,2020-03-18,2020-04-06,"https://www.alabamanews.net/2020/03/13/all-alabama-public-schools-will-be-closed-for-more-than-two-weeks-beginning-march-18/",NA,NA,NA,2020-03-18,"DMO",2020-03-21
"11","Alabama","government","ADM1",NA,"The Office of the Alabama Governor","government","prohibit_business",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"12","Alabama","government","ADM1",NA,"The Office of the Alabama Governor","government","gathering_size_limited",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"13","Alabama","government","ADM1",NA,"The Office of the Alabama Governor","government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-21
"14","Alaska","government","ADM1",NA,"The Office of the Alaska Governor","government","first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alaska","government","ADM1",NA,"The Office of the Alaska Governor","government","state of emergency",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"16","Alaska","government","ADM1",NA,"The Office of the Alaska Governor","government","non-contact school",2020-03-13,2020-03-16,2020-03-30,"http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf",NA,NA,NA,2020-03-18,"DMO",2020-03-21
"17","Alaska","government","ADM1",NA,"The Office of the Alaska Governor","government","prohibit_business",2020-03-13,2020-03-16,2020-04-30,"https://www.ktuu.com/content/news/Governor-announces-closure-of-dine-in-food-service-due-to-coronavirus-568887821.html",NA,NA,NA,2020-03-18,"DMO",2020-03-21
"18","Alaska","government","ADM1",NA,"The Office of the Alaska Governor","government","gathering_size_limited",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"19","Alaska","government","ADM1",NA,"The Office of the Alaska Governor","government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"ARW",2020-03-21
"20","Arizona","government","ADM1",NA,"The Office of the Arizona Governor","government","state of emergency",2020-03-11,NA,NA,"https://www.azfamily.com/news/gov-ducey-declares-public-health-emergency-in-arizona-due-to/article_b6984d36-63c4-11ea-97ae-577cf8e7a46e.html",NA,NA,NA,2020-03-18,"DMO",2020-03-21
"21","Arizona","government","ADM1",NA,"The Office of the Arizona Governor","government","non-contact school",2020-03-15,2020-03-16,2020-03-30,"https://www.ktuu.com/content/news/Governor-announces-closure-of-dine-in-food-service-due-to-coronavirus-568887821.html",NA,NA,NA,2020-03-18,"DMO",2020-03-21
"22","Arizona","government","ADM1",NA,"The Office of the Arizona Governor","government","prohibit_business",2020-03-20,2020-03-20,2020-04-03,"https://azgovernor.gov/executive-orders",NA,NA,NA,2020-03-21,"ARW",2020-03-21
"23","Arizona","government","ADM1",NA,NA,"government","gathering_size_limited",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"24","Arizona","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"25","Arkansas","government","ADM1",NA,"State of Arkansas Executive Department","government","state of emergency",2020-03-13,NA,NA,"https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-05.pdf",NA,NA,NA,NA,"DMO",2020-03-21
"26","Arkansas","government","ADM1",NA,"Arkansas Department of Education","government","non-contact school",2020-03-19,2020-03-19,2020-04-17,"http://dese.ade.arkansas.gov/public/userfiles/news/2020/All_Arkansas_Public_Schools_to_Remain_Closed.pdf",NA,NA,NA,2020-03-21,"ARW",2020-03-21
"27","Arkansas","government","ADM1",NA,NA,"government","prohibit_business",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"28","Arkansas","government","ADM1","https://portal.arkansas.gov/news/",NA,"government","gathering_size_limited",NA,NA,NA,"https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus",NA,NA,NA,NA,"DMO",2020-03-21
"29","Arkansas","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-21
"30","California","government","ADM1",NA,NA,"government","state of emergency",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"31","California","government","ADM1",NA,NA,"government","non-contact school",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"32","California","government","ADM1",NA,NA,"government","prohibit_business",2020-03-16,NA,NA,"https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Coronavirus%20Disease%202019%20and%20Food%20Beverage%20Other%20Services%20-%20AOL.pdf ; https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx",NA,NA,NA,2020-03-18,"ARW",2020-03-18
"33","California","government","ADM1",NA,NA,"government","gathering_size_limited",2020-03-12,2020-03-13,2020-03-30,"https://www.reuters.com/article/us-health-coronavirus-california-idUSKBN20Z0WQ",250,NA,NA,2020-03-18,"DMO",2020-03-18
"34","California","government","ADM1",NA,NA,"government","shelter_in_place",2020-03-19,NA,NA,"https://covid19.ca.gov/img/N-33-20.pdf",NA,NA,NA,NA,"ARW",2020-03-19
"35","Colorado","government","ADM1",NA,NA,"government","state of emergency",2020-03-10,2020-03-10,NA,"https://denver.cbslocal.com/2020/03/10/coronavirus-colorado-state-emergency/",NA,NA,NA,2020-03-18,"DMO",2020-03-18
"36","Colorado","government","ADM1",NA,NA,"government","non-contact school",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"37","Colorado","government","ADM1",NA,NA,"government","prohibit_business",2020-03-16,2020-03-17,2020-04-17,"https://www.colorado.gov/pacific/sites/default/files/atoms/files/Bars%20Restaurants%20PH%20order.pdf",NA,NA,NA,2020-03-18,"DMO",2020-03-18
"38","Colorado","government","ADM1",NA,NA,"government","gathering_size_limited",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"39","Colorado","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"ARW",2020-03-19
"40","Connecticut","government","ADM1",NA,NA,"government","state of emergency",NA,NA,NA,"https://portal.ct.gov/Coronavirus",NA,NA,NA,NA,"DMO",2020-03-18
"41","Connecticut","government","ADM1",NA,NA,"government","non-contact school",2020-03-15,2020-03-17,2020-03-31,"https://www.nbcconnecticut.com/news/local/gov-lamont-to-give-update-on-coronavirus-in-conn/2239041/",NA,NA,NA,2020-03-18,"DMO",2020-03-18
"42","Connecticut","government","ADM1",NA,NA,"government","prohibit_business",2020-03-20,2020-03-21,NA,"https://ctmirror.org/2020/03/20/lamont-orders-non-essential-businesses-to-close-during-public-health-crisis/",NA,NA,NA,2020-03-21,"DMO",2020-03-21
"43","Connecticut","government","ADM1",NA,NA,"government","gathering_size_limited",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"44","Connecticut","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"ARW",2020-03-19
