date,cumulative_cases,cumulative_deaths,dph_report_generation_time,dashbord_md5sum
2020-02-01,4,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-02,7,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-03,9,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-04,9,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-05,9,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-06,11,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-07,12,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-08,13,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-09,13,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-10,16,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-11,17,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-12,17,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-13,18,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-14,21,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-15,23,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-16,23,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-17,25,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-18,29,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-19,33,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-20,37,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-21,40,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-22,44,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-23,52,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-24,58,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-25,66,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-26,77,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-27,88,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-28,104,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-02-29,118,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-03-01,199,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-03-02,240,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
2020-03-03,281,0,2020-07-02T23:28:04Z,7e3cf58926e12071dd7b4665d31a75be
